date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:59	111/111	---M-Z	200	added ('OK')	text/plain	date:Sat,%2020%20Jun%202026%2012:04:59%20GMT	https://jmiiwedding.com/robots.txt		(from )
19:05:00	154990/154990	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Jun%202026%2012:05:00%20GMT	https://jmiiwedding.com/thuyquynhphonggiangwedding/	D:/Develop/vagrant/wedding/jmiiwedding.com/thuyquynhphonggiangwedding/index.html	(from )
19:05:00	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2020%20Jun%202026%2012:05:00%20GMT	https://static.ladipage.net/6322a62f2dad980013bb5005/untitled-1-20250409032644-v_4bn.png	D:/Develop/vagrant/wedding/static.ladipage.net/6322a62f2dad980013bb5005/untitled-1-20250409032644-v_4bn.0.delayed	(from https://jmiiwedding.com/thuyquynhphonggiangwedding/)
19:05:00	176730/176730	---MCZ	200	added ('OK')	image/png	date:Fri,%2026%20Sep%202025%2014:37:00%20GMT	https://w.ladicdn.com:443/6322a62f2dad980013bb5005/untitled-1-20250409032644-v_4bn.png	D:/Develop/vagrant/wedding/w.ladicdn.com_443/6322a62f2dad980013bb5005/untitled-1-20250409032644-v_4bn.png	(from https://jmiiwedding.com/thuyquynhphonggiangwedding/)
19:05:00	614558/614558	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2018%20Jun%202026%2007:23:08%20GMT	https://w.ladicdn.com/v5/source/ladipagev3.min.js?v=1773670799190	D:/Develop/vagrant/wedding/w.ladicdn.com/v5/source/ladipagev3.min12b1.js	(from https://jmiiwedding.com/thuyquynhphonggiangwedding/)
19:05:01	91902/91902	---MCZ	200	added ('OK')	image/jpeg	date:Sat,%2020%20Jun%202026%2011:47:47%20GMT	https://w.ladicdn.com/s750x1000/6322a62f2dad980013bb5005/tuan4261-20260316070910-8mbfg.jpg	D:/Develop/vagrant/wedding/w.ladicdn.com/s750x1000/6322a62f2dad980013bb5005/tuan4261-20260316070910-8mbfg.jpg	(from https://jmiiwedding.com/thuyquynhphonggiangwedding/)
19:05:01	591615/591615	---MCZ	200	added ('OK')	image/png	date:Fri,%2026%20Sep%202025%2002:02:40%20GMT	https://w.ladicdn.com/s750x950/6322a62f2dad980013bb5005/icon-thiep-huyenpsd_0000_clear-white-plaster-texture-pattern-copy-14-20250703084107-2wpug.png	D:/Develop/vagrant/wedding/w.ladicdn.com/s750x950/6322a62f2dad980013bb5005/icon-thiep-huyenpsd_0000_clear-white-plaster-texture-pattern-copy-14-20250703084107-2wpug.png	(from https://jmiiwedding.com/thuyquynhphonggiangwedding/)
19:05:01	373999/373999	---MCZ	200	added ('OK')	image/png	date:Fri,%2026%20Sep%202025%2002:15:22%20GMT	https://w.ladicdn.com/s750x550/6322a62f2dad980013bb5005/thiep-huyen-copy_0003_thiep-huyenn-copy-3-20250703084042-v6pcm.png	D:/Develop/vagrant/wedding/w.ladicdn.com/s750x550/6322a62f2dad980013bb5005/thiep-huyen-copy_0003_thiep-huyenn-copy-3-20250703084042-v6pcm.png	(from https://jmiiwedding.com/thuyquynhphonggiangwedding/)
19:05:01	48604/48604	---MCZ	200	added ('OK')	image/jpeg	date:Sat,%2020%20Jun%202026%2011:47:59%20GMT	https://w.ladicdn.com/s550x650/6322a62f2dad980013bb5005/tuan4772-20260316071156-u4yvx.jpg	D:/Develop/vagrant/wedding/w.ladicdn.com/s550x650/6322a62f2dad980013bb5005/tuan4772-20260316071156-u4yvx.jpg	(from https://jmiiwedding.com/thuyquynhphonggiangwedding/)
19:05:01	53068/53068	---MCZ	200	added ('OK')	image/jpeg	date:Sat,%2020%20Jun%202026%2011:47:59%20GMT	https://w.ladicdn.com/s550x650/6322a62f2dad980013bb5005/tuan4525-20260316071158-v5lka.jpg	D:/Develop/vagrant/wedding/w.ladicdn.com/s550x650/6322a62f2dad980013bb5005/tuan4525-20260316071158-v5lka.jpg	(from https://jmiiwedding.com/thuyquynhphonggiangwedding/)
19:05:02	42024/42024	---MCZ	200	added ('OK')	image/jpeg	date:Sat,%2020%20Jun%202026%2011:47:59%20GMT	https://w.ladicdn.com/s750x850/6322a62f2dad980013bb5005/tuan5064-20260316071343-0gm7g.jpg	D:/Develop/vagrant/wedding/w.ladicdn.com/s750x850/6322a62f2dad980013bb5005/tuan5064-20260316071343-0gm7g.jpg	(from https://jmiiwedding.com/thuyquynhphonggiangwedding/)
19:05:02	9641/9641	---MCZ	200	added ('OK')	image/png	date:Wed,%2012%20Nov%202025%2010:55:19%20GMT	https://w.ladicdn.com/s350x350/6322a62f2dad980013bb5005/icon-thiep-huyenpsd_0005_vector-smart-object-20250703090913-cjn_h.png	D:/Develop/vagrant/wedding/w.ladicdn.com/s350x350/6322a62f2dad980013bb5005/icon-thiep-huyenpsd_0005_vector-smart-object-20250703090913-cjn_h.png	(from https://jmiiwedding.com/thuyquynhphonggiangwedding/)
19:05:02	738932/738932	---MCZ	200	added ('OK')	image/png	date:Wed,%2012%20Nov%202025%2010:57:47%20GMT	https://w.ladicdn.com/s750x550/6322a62f2dad980013bb5005/thiep-huyen-copy_0002_thiep-huyenn-copy-2-20250703085254-ucalq.png	D:/Develop/vagrant/wedding/w.ladicdn.com/s750x550/6322a62f2dad980013bb5005/thiep-huyen-copy_0002_thiep-huyenn-copy-2-20250703085254-ucalq.png	(from https://jmiiwedding.com/thuyquynhphonggiangwedding/)
